Date,Oil Index
2016-02-26,76.48311009608574
2016-02-29,77.09078561621541
2016-03-01,77.40753383171331
2016-03-02,77.50080068235143
2016-03-03,77.68333986256117
2016-03-04,79.27436777749767
2016-03-07,81.84367696872545
2016-03-08,80.89230612405524
2016-03-09,82.71874913555025
2016-03-10,82.17678435948056
2016-03-11,83.38766334930186
2016-03-14,82.27494084392006
2016-03-15,81.74447879466126
2016-03-16,83.84509217602731
2016-03-17,85.90323945144462
2016-03-18,85.66154380856399
2016-03-21,86.024008434449
2016-03-22,87.27339241937256
2016-03-23,85.37278538990195
2016-03-24,84.90538499163239
2016-03-28,85.47756245023632
2016-03-29,84.62739352138115
2016-03-30,84.58114381483695
2016-03-31,84.9089074306322
2016-04-01,83.63147564143843
2016-04-04,82.851328669227
2016-04-05,82.14827534218617
